card_name,games_played,wins,winrate_pct,distinct_drafts,reliable
Floodpits Drowner,203,95,46.8,29,True
"Night Nurse, Healer of Heroes",154,72,46.75,22,True
"Kasmina, Enigmatic Mentor",154,72,46.75,22,True
Murmuring Mystic,231,108,46.75,33,True
Mishra's Bauble,77,36,46.75,11,True
Phantom Interference,259,121,46.72,37,True
Improbable Alliance,182,85,46.7,26,True
"Red Guardian, Super-Soldier",105,49,46.67,15,True
Fiery Islet,210,98,46.67,30,True
Thought-Stalker Warlock,133,62,46.62,19,True
Serum Visionary,161,75,46.58,23,True
Brainstorm,189,88,46.56,27,True
Honest Rutstein,168,78,46.43,24,True
Power Word Kill,168,78,46.43,24,True
Ashnod's Altar,28,13,46.43,4,True
Elvish Mystic,231,107,46.32,33,True
Priest of the Blood Rite,119,55,46.22,17,True
Stormkeld Vanguard,91,42,46.15,13,True
Raven's Crime,63,29,46.03,9,True
Into the Roil,189,87,46.03,27,True
Simic Growth Chamber,189,87,46.03,27,True
Wall of Roots,224,103,45.98,32,True
Pelakka Wurm,161,74,45.96,23,True
A.I.M. Synthoids,161,74,45.96,23,True
Start the TARDIS,133,61,45.86,19,True
Rubblebelt Maverick,105,48,45.71,15,True
Sicarian Infiltrator,175,80,45.71,25,True
Moment of Truth,147,67,45.58,21,True
Sulfurous Springs,112,51,45.54,16,True
Tortured Existence,189,86,45.5,27,True
Hedge Maze,161,73,45.34,23,True
Hymn to Tourach,203,92,45.32,29,True
The Underworld Cookbook,42,19,45.24,6,True
Archive Dragon,42,19,45.24,6,True
Golgari Rot Farm,133,60,45.11,19,True
Spider Spawning,147,66,44.9,21,True
Morbid Opportunist,147,66,44.9,21,True
Elves of Deep Shadow,196,88,44.9,28,True
Curiosity,49,22,44.9,7,True
Vilespawn Spider,49,22,44.9,7,True
Wurmcoil Larva,154,69,44.81,22,True
Triarch Praetorian,210,94,44.76,30,True
Fallaji Archaeologist,161,72,44.72,23,True
Breeding Pool,161,72,44.72,23,True
Unnerving Grasp,217,97,44.7,31,True
Timeline Culler,112,50,44.64,16,True
Harmonize,112,50,44.64,16,True
Trostani's Summoner,56,25,44.64,8,True
Order of Midnight,56,25,44.64,8,True
Cut Down,168,75,44.64,24,True
Devoted Druid,231,103,44.59,33,True
Counterspell,231,103,44.59,33,True
Hypnotic Sprite,182,81,44.51,26,True
Carrion Feeder,189,84,44.44,27,True
Drown in Sorrow,63,28,44.44,9,True
Splash Lasher,63,28,44.44,9,True
Sink into Stupor,196,87,44.39,28,True
Prismatic Vista,203,90,44.33,29,True
Fact or Fiction,210,93,44.29,30,True
Agonizing Remorse,70,31,44.29,10,True
Intimidation Campaign,70,31,44.29,10,True
Utopia Sprawl,224,99,44.2,32,True
