"Draft","Seat","Colors","Archetype","Themes","Creatures","Noncreatures","Lands","Avg MV","Mainboard","Sideboard"
"24","1","Green","G Ramp","Enchantments, Druids, Creatures","18","5","17","2.74","Utopia Sprawl, Evolution Witness, Owlbear, Colossal Dreadmask, Contagious Vorrac, Cradle of the Accursed, Priest of Titania, Wall of Roots, Elvish Mystic, Arbor Elf, Jewel Thief, Nyxborn Hydra, Trumpeting Herd, Wild Growth, Yavimaya Elder, Werebear, Rancor, Eldrazi Repurposer, Greater Tanuki, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Voracious Varmint, Blastoderm, Bannerhide Krushok, Sakura-Tribe Elder, Llanowar Visionary","Gnawing Crescendo, Flesh Burrower, Temperamental Oozewagg, Branching Bolt, Armadillo Cloak, Phantom Tiger, Lyev Skyknight, Bountiful Landscape, Abundant Harvest, Growth Spiral, Winding Way, Renegade Freighter, Serrated Arrows, Ainok Wayfarer, Experiment One, You Meet in a Tavern, Sylvan Might, Conclave Naturalists, Writhing Chrysalis, Scoured Barrens, Kyoshi Village"
"24","2","Black","B Midrange","Black","12","11","17","2.74","Liliana's Specter, Gurmag Angler, Snuff Out, Village Rites, Underworld Charger, Grim Bauble, Vampire Sovereign, Unearth, Mire Triton, Faceless Butcher, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Witch's Cottage, Aether Poisoner, Disfigure, Night's Whisper, Voracious Vermin, Ashes to Ashes, Candy Grapple, Thorn of the Black Rose, Tocasia's Dig Site, Stab Wound, Blood Fountain, Carrier Thrall, Accursed Marauder, First-Sphere Gargantua, Tortured Existence","Selesnya Sanctuary, Putrid Leech, Deceptive Landscape, Rubblebelt Maverick, Riling Dawnbreaker, Desecrator Hag, Entourage of Trest, Mardu Skullhunter, Soul Manipulation, Expanding Ooze, Wolf Cove Villager, Bonder's Ornament, Witherbloom Campus, Suburban Sanctuary, Dreg Mangler, Candy Trail, Coalition Honor Guard, Twisted Landscape, Gift of Orzhova, Borrowed Grace"
"24","3","Black/Blue","BU Tempo","Spells, Wizards","11","12","17","2.70","Mocking Sprite, Cloudkin Seer, Mystic Sanctuary, Dimir Guildmage, Lose Focus, Mulldrifter, Forum of Amity, Weakstone's Subjugation, Swamp, Swamp, Deep Analysis, Doom Blade, Opt, Resentful Revelation, Striped Riverwinder, Capsize, Moon-Circuit Hacker, Pestermite, Miscalculation, Serum Visionary, Deranged Assistant, Witness Protection, Dinrova Horror, Repeal, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Arms of Hadar, Cast Down, Elite Interceptor","Rakdos Carnarium, Clawing Torment, Gingerbrute, Savage Mansion, Putrid Goblin, Bogardan Dragonheart, Imperial Oath, Titan's Grave, Focus Fire, Guildsworn Prowler, Guardian Idol, Death Denied, Carnophage, Underworld Rage-Hound, Lys Alana Informant, Vampire Lacerator, Perilous Landscape, Warship Scout, Mayhem Patrol, Mother Bear"
"24","4","Red/Blue","RU Spellslinger","Spells","9","14","17","2.78","Cryogen Relic, Oliphaunt, Izzet Boilerworks, Ninja of the Deep Hours, Improvised Club, Brainstorm, Teetering Peaks, Gruul Turf, Goblin Surprise, Eroded Canyon, Quandrix Pledgemage, Flame Slash, Bloodwater Entity, Rolling Thunder, Spelleater Wolverine, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Searing Spear, Snap, Island, Island, Island, Island, Island, Jhessian Thief, Mana Leak, Guttersnipe, Counterspell, Mirrorshell Crab, Murmuring Mystic, Galvanic Discharge, Sulfurous Blast, Lightning Strike, Abrade","Conduit Goblin, Vulshok Morningstar, Raid Bombardment, Thriving Grubs, Tuskeri Firewalker, Conduit Pylons, Deluge Virtuoso, Ominous Asylum, Mogg War Marshal, Ainok Bond-Kin, Molten Gatekeeper, Barbed Batterfist, Fields of Strife, Mandibular Kite, Oblivion Ring, Mind Stone, Abraded Bluffs, Scorched Rusalka"
"24","5","Black/White","BW Aristocrats","Humans, Creatures","17","6","17","2.26","Retrofitted Transmogrant, Dauthi Horror, Kingpin's Pet, Troll of Khazad-dûm, Gixian Infiltrator, Ecstatic Awakener, Falkenrath Noble, Gray Merchant of Asphodel, Vendetta, Okiba Reckoner Raid, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Pillory of the Sleepless, Raffine's Informant, Syndic of Tithes, Deftblade Elite, Carrion Feeder, Orzhov Basilica, Plains, Plains, Plains, Nested Shambler, Dauthi Slayer, Novice Inspector, Wither and Bloom, Snarling Gorehound, Pestilence, Okiba-Gang Shinobi, Tragic Slip","Pristine Talisman, Dread Return, Dimir Aqueduct, Hidden Grotto, Salt Road Packbeast, Savannah Lions, Vault Skirge, Hooting Mandrills, Cathar Commando, Greatsword of Tyr, Loathsome Curator, Prismatic Strands, Territorial Hammerskull, Stormfront Pegasus, Grapple with the Past, Plagued Rusalka, Diregraf Horde, Bramble Wurm, Dauntless Unity, Miner's Guidewing, Militia Bugler"
"24","6","Red","R Burn","Spells, Humans","12","11","17","2.00","Desert, Rimrock Knight, Firebrand Archer, Burning-Tree Emissary, Clockwork Percussionist, Lightning Bolt, Reckless Charge, Frenzied Goblin, Hissing Iguanar, Rally at the Hornburg, Shock Brigade, Chain Lightning, Aether Chaser, Grim Initiate, Bristling Backwoods, Fireblast, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Hordeling Outburst, Wrenn's Resolve, Burst Lightning, Plasma Bolt, Sparksmith, Skewer the Critics, Incinerate, Monastery Swiftspear, Beetleback Chief","Fireslinger, Dog Walker, Cindering Cutthroat, Scrapwork Mutt, Flayer Husk, Tempest Angler, Boiling Rock Prison, Blood Aspirant, Vermin Gorger, Thraben Charm, Furnace Strider, Vines of Vastwood, Boros Garrison, Glimmerlight, Ironhoof Boar, Inspiring Paladin, Elite Vanguard, Filigree Familiar, Iron Apprentice, Seeker of the Way"
"24","7","Blue/White","UW Control","Spells","9","14","17","2.65","Starbreach Whale, Gitaxian Probe, Trapped in the Screen, Judge's Familiar, Sunlance, Gods Willing, Consider, Serum Visions, Treasure Cruise, Planar Disruption, Lórien Revealed, Condescend, University Campus, Exclude, Island, Island, Island, Island, Island, Island, Island, Island, Island, Faerie Seer, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Into the Roil, Looter il-Kor, Thraben Inspector, Palace Sentinels, Eagles of the North, Battle Screech, Ardenvale Tactician, Silver Drake, Impulse","Champion of Dusan, Prophetic Prism, Zephyr Winder, Tenth District Legionnaire, Blessed Hippogriff, Rally the Peasants, Triplicate Spirits, You Hear Something on Watch, Raise the Alarm, Merfolk Looter, Search Party Captain, Ancestral Blade, Pinnacle Kill-Ship, Gideon's Lawkeeper, Suture Priest, Urban Daggertooth, Tranquil Landscape, Unbounded Potential, Brambleback Brute, Perilous Myr, Fortress Kin-Guard"
"24","8","Green/Blue/White","GUW Blink","Green/Blue/White","14","9","17","3.17","Peregrine Drake, Ephemerate, Faithful Watchdog, Quandrix Campus, Mechanozoa, Hickory Woodlot, Settle Beyond Reality, Displace, Unable to Scream, Llanowar Elves, Coiling Oracle, Haunted Fengraf, Sagu Wildling, Krosan Tusker, Cryoshatter, Sprout Swarm, Momentary Blink, Basking Broodscale, Ghostly Flicker, Island, Island, Island, Island, Island, Island, Forest, Forest, Forest, Forest, Eldrazi Skyspawner, Plains, Plains, Plains, Plains, Bushwhack, Alabaster Host Intercessor, Inspiring Overseer, Shipwreck Dowser, Snapping Voidcraw, Sarulf's Packmate","Custodi Squire, Aerie Auxiliary, Heliod's Pilgrim, Faith's Fetters, Treetop Snarespinner, Meeting of Minds, Monstrous Emergence, Wary Farmer, Vizier of Tumbling Sands, River Boa, Mana Tithe, Blightning, Annoyed Altisaur, Tamiyo's Safekeeping, Leonin Bola, Captured by Lagacs, Spellbook Seeker, Gnarlid Colony, Petrify"
"25","1","Black","B Midrange","Zombies","11","12","17","2.96","Retrofitted Transmogrant, Gurmag Angler, Cradle of the Accursed, Gray Merchant of Asphodel, Underworld Charger, Grim Bauble, Mire Triton, Faceless Butcher, Scurrilous Sentry, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Witch's Cottage, Night's Whisper, Sinister Hideout, Ashes to Ashes, Death Denied, Candy Grapple, Tocasia's Dig Site, Stab Wound, Blood Fountain, Chitin Gravestalker, Dinrova Horror, Arms of Hadar, Cast Down, Wither and Bloom, Snarling Gorehound, Accursed Marauder, Pestilence, Serpent's Pass, Tortured Existence","Starbreach Whale, Prophetic Prism, Azorius Chancery, Judge's Familiar, Contaminated Landscape, Seething Landscape, Unwilling Ingredient, Fireblade Artist, Renegade Freighter, Shattered Landscape, Voracious Vermin, Blightning, Carrier Thrall, Foreboding Landscape, Plagued Rusalka, Twisted Landscape, Impulse"
"25","2","Green/Red","GR Stompy","Creatures","19","4","17","3.04","Simic Growth Chamber, Champion of Dusan, Evolution Witness, Quandrix Campus, Oliphaunt, Izzet Boilerworks, Elvish Mystic, Nyxborn Hydra, Winding Way, Scrapwork Mutt, Gruul Turf, Llanowar Elves, Coiling Oracle, Hooting Mandrills, Sagu Wildling, Flame Slash, Jade Guardian, Werebear, Mountain, Eldrazi Repurposer, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Generous Ent, Voracious Varmint, You Meet in a Tavern, Conclave Naturalists, Writhing Chrysalis, Pulse of Murasa, Gnarlid Colony, Goblin Anarchomancer","Dog Walker, Dark-Dweller Oracle, Ardent Elementalist, Thriving Grubs, Tuskeri Firewalker, Conduit Pylons, Bogardan Dragonheart, Deluge Virtuoso, Reckless Charge, Soltari Trooper, Wary Farmer, Boiling Rock Prison, Blood Aspirant, Boros Garrison, Molten Gatekeeper, Visionary's Dance, Perilous Myr, Sulfurous Blast"
