card_name,games_played,wins,winrate_pct,distinct_drafts,reliable
Shrapnel Blast,49,23,46.94,7,True
Krosan Grip,49,23,46.94,7,True
Summoner's Pact,77,36,46.75,11,True
Makeshift Mannequin,154,72,46.75,22,True
Misty Rainforest,266,124,46.62,38,True
Eldritch Evolution,161,75,46.58,23,True
Faithless Looting,245,114,46.53,35,True
Remand,280,130,46.43,40,True
Treasure Cruise,238,110,46.22,34,True
Goblin Dark-Dwellers,91,42,46.15,13,True
Hinterland Harbor,154,71,46.1,22,True
Sphinx's Revelation,154,71,46.1,22,True
Sunken Hollow,217,100,46.08,31,True
Bedlam Reveler,189,87,46.03,27,True
Geist of Saint Traft,126,58,46.03,18,True
Dissolve,238,109,45.8,34,True
Elvish Piper,175,80,45.71,25,True
Censor,245,112,45.71,35,True
Unburial Rites,175,80,45.71,25,True
Zealous Conscripts,245,112,45.71,35,True
Mind Shatter,35,16,45.71,5,True
Treetop Village,224,102,45.54,32,True
Hallowed Fountain,266,121,45.49,38,True
Remove Soul,203,92,45.32,29,True
Fetid Pools,252,114,45.24,36,True
Irrigated Farmland,175,79,45.14,25,True
Opt,252,113,44.84,36,True
Sower of Temptation,154,69,44.81,22,True
"Venser, Shaper Savant",217,97,44.7,31,True
Inkmoth Nexus,273,122,44.69,39,True
Tireless Tracker,280,125,44.64,40,True
Skullclamp,224,100,44.64,32,True
Batterskull,196,87,44.39,28,True
Prairie Stream,196,87,44.39,28,True
Glen Elendra Archmage,210,93,44.29,30,True
Tarfire,210,93,44.29,30,True
Time Warp,245,108,44.08,35,True
Breeding Pool,182,80,43.96,26,True
Heir of Falkenrath,91,40,43.96,13,True
Repeal,196,86,43.88,28,True
Mystic Snake,98,43,43.88,14,True
Consecrated Sphinx,203,89,43.84,29,True
Glacial Fortress,210,92,43.81,30,True
Negate,231,101,43.72,33,True
Pyrite Spellbomb,126,55,43.65,18,True
Spell Queller,161,70,43.48,23,True
Abrade,238,103,43.28,34,True
Cryptic Command,252,109,43.25,36,True
Polluted Delta,266,115,43.23,38,True
Wurmcoil Engine,224,96,42.86,32,True
Looter il-Kor,119,51,42.86,17,True
Mana Confluence,49,21,42.86,7,True
Talisman of Impulse,49,21,42.86,7,True
Vampire Hexmage,77,33,42.86,11,True
Naturalize,42,18,42.86,6,True
Murmuring Bosk,49,21,42.86,7,True
Serum Visions,273,116,42.49,39,True
Torrential Gearhulk,259,110,42.47,37,True
Stormchaser Mage,217,92,42.4,31,True
Riftwing Cloudskate,182,77,42.31,26,True
Boomerang,154,65,42.21,22,True
"Ulamog, the Ceaseless Hunger",140,59,42.14,20,True
Ponder,259,109,42.08,37,True
Scalding Tarn,238,100,42.02,34,True
Inferno Titan,154,64,41.56,22,True
Celestial Colonnade,273,113,41.39,39,True
Vendilion Clique,252,104,41.27,36,True
Earthquake,126,52,41.27,18,True
"Jace, Vryn's Prodigy",245,101,41.22,35,True
"Ulamog, the Infinite Gyre",119,49,41.18,17,True
Bloodwater Entity,161,66,40.99,23,True
"Kiki-Jiki, Mirror Breaker",238,97,40.76,34,True
Shelldock Isle,280,114,40.71,40,True
Pact of Negation,224,91,40.62,32,True
"Talrand, Sky Summoner",133,54,40.6,19,True
Preordain,259,105,40.54,37,True
Terramorphic Expanse,161,65,40.37,23,True
Deceiver Exarch,196,79,40.31,28,True
Cyclonic Rift,259,104,40.15,37,True
Talisman of Dominance,252,101,40.08,36,True
Yavimaya Coast,140,56,40.0,20,True
Mana Leak,273,109,39.93,39,True
Sulfur Falls,231,92,39.83,33,True
Dark Petition,98,39,39.8,14,True
Evolving Wilds,175,69,39.43,25,True
Gitaxian Probe,203,80,39.41,29,True
Shivan Reef,203,80,39.41,29,True
Commit // Memory,224,88,39.29,32,True
Spirebluff Canal,224,88,39.29,32,True
Ingot Chewer,56,22,39.29,8,True
Commune with Nature,56,22,39.29,8,True
Spell Pierce,189,74,39.15,27,True
Flooded Strand,259,101,39.0,37,True
Steam Vents,294,114,38.78,42,True
Coiling Oracle,70,27,38.57,10,True
Disenchant,70,27,38.57,10,True
Electrolyze,189,72,38.1,27,True
Ancestral Vision,203,77,37.93,29,True
Pestermite,238,90,37.82,34,True
Temple of Epiphany,217,82,37.79,31,True
Vedalken Shackles,259,97,37.45,37,True
Lightning Greaves,91,34,37.36,13,True
Talisman of Indulgence,91,34,37.36,13,True
Chrome Mox,252,94,37.3,36,True
Izzet Charm,189,70,37.04,27,True
Splinter Twin,196,72,36.73,28,True
Street Wraith,77,28,36.36,11,True
"Kiora, Master of the Depths",105,38,36.19,15,True
Beast Within,133,48,36.09,19,True
Sleight of Hand,217,78,35.94,31,True
Manamorphose,112,40,35.71,16,True
Quicksilver Amulet,70,25,35.71,10,True
Leatherback Baloth,14,5,35.71,2,True
Pyroclasm,119,42,35.29,17,True
"Emrakul, the Aeons Torn",119,42,35.29,17,True
Unsummon,168,59,35.12,24,True
Phyrexian Metamorph,217,76,35.02,31,True
Vault Skirge,140,49,35.0,20,True
Hangarback Walker,140,49,35.0,20,True
Talisman of Progress,224,78,34.82,32,True
Cruel Ultimatum,49,17,34.69,7,True
Ornithopter,147,51,34.69,21,True
Relic of Progenitus,84,29,34.52,12,True
Ratchet Bomb,105,36,34.29,15,True
Gilded Lotus,119,40,33.61,17,True
Walking Ballista,140,47,33.57,20,True
Sphinx of the Steel Wind,126,42,33.33,18,True
Cranial Plating,189,63,33.33,27,True
Arcbound Ravager,203,67,33.0,29,True
Mox Opal,252,83,32.94,36,True
Coalition Relic,182,59,32.42,26,True
