"Draft","Seat","Colors","Archetype","Themes","Creatures","Noncreatures","Lands","Avg MV","Mainboard","Sideboard"
"3","2","Green/Blue","GU Midrange Combo","Artifacts","5","18","17","4.52","Coalition Relic, Nettlecyst, Karn, Scion of Urza, Tezzeret, Cruel Captain, Sensei's Divining Top, Pest Infestation, Windswept Heath, Portal to Phyrexia, Phyrexian Metamorph, Swamp, Triplicate Titan, Ugin, Eye of the Storms, Oko, Thief of Crowns, Sol Ring, Basalt Monolith, Kaldra Compleat, Gaea's Cradle, Thopter Foundry, Emrakul, the Aeons Torn, Coveted Jewel, Island, Island, Island, Island, Island, Island, Island, Forest, Forest, Forest, Forest, Myr Battlesphere, Lightning Greaves, Hedge Maze, Channel, Lush Portico, Mox Sapphire, Mox Opal, Blightsteel Colossus, City of Traitors","Avacyn's Pilgrim, Brightglass Gearhulk, Survival of the Fittest, Stomping Ground, Michelangelo, Weirdness to 11, Balance, Lion Sash, Cathar Commando, Overlord of the Mistmoors, Shadowspear, Natural Order, Sentinel of the Nameless City, Agatha's Soul Cauldron, Ignoble Hierarch, Malevolent Rumble, Batroc the Leaper, Serra Paragon"
"3","3","Red/Blue","RU Spellslinger","Artifacts, Spells","4","19","17","2.17","Stormchaser's Talent, Vivi Ornitier, Talisman of Creativity, Lutri, the Spellchaser, Echo of Eons, Brainstorm, Cori-Steel Cutter, Aether Spellbomb, Astrologian's Planisphere, Riverpyre Verge, Mishra's Bauble, Lórien Revealed, Firebolt, Dack Fayden, Mountain, Mountain, Mountain, Narset, Parter of Veils, Saheeli, Sublime Artificer, Force of Negation, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Mishra's Workshop, Expressive Iteration, Counterspell, Time Walk, Thundertrap Trainer, Spell Pierce, Otawara, Soaring City, Spirebluff Canal, Lion's Eye Diamond, Third Path Iconoclast","Squee, Goblin Nabob, Sear, Tinker, Paradoxical Outcome, Phlage, Titan of Fire's Fury, Faithless Looting, Carnage Interpreter, Black Widow, Super Spy, Vindicate, Currency Converter, Retrofitter Foundry, Flickerwisp, Aang, Swift Savior, Sage of the Skies, Starting Town, Time Warp, Emeritus of Abundance, Oust"
"3","4","Black/Green/Blue/White","BGUW Midrange Combo","Black/Green/Blue/White","14","9","17","2.78","Zuran Orb, Nadu, Winged Wisdom, Icetill Explorer, Fractured Identity, Spara's Headquarters, Swamp, Swamp, Karakas, The Wondrous Wasp, Cloak and Dagger, Entwined, Wooded Foothills, Savannah, Tamiyo, Collector of Tales, Botanical Sanctum, Springheart Nantuko, Scythecat Cub, Noble Hierarch, Island, Forest, Forest, Forest, Forest, Forest, Leyline Binding, Generous Ent, Plains, Boseiju, Who Endures, Meticulous Archive, Titania, Protector of Argoth, Bristly Bill, Spine Sower, Path to Exile, Solitude, Fastbond, Night Nurse, Healer of Heroes, Orcish Bowmasters, Chrome Mox, Uro, Titan of Nature's Wrath, Reprieve, Hallowed Fountain, Dismember","Witch Enchanter, Appa, Steadfast Guardian, Stoneforge Mystic, Baleful Strix, Subtlety, Spellseeker, Winds of Abandon, Figure of Fable, Territorial Kavu, Force of Vigor, Elite Spellbinder, Phantasmal Image, Impractical Joke, Leovold, Emissary of Trest"
"3","5","Black/Blue","BU Tempo","Spells","12","11","17","2.43","Ponder, Undercity Sewers, Cut Down, Library of Alexandria, Sheoldred's Edict, Troll of Khazad-dûm, Stock Up, Tishana's Tidebinder, Master of Death, Malcolm, Alluring Scoundrel, Fallen Shinobi, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Jace, Vryn's Prodigy, Kavaero, Mind-Bitten, Occult Epiphany, Raffine's Tower, Daze, Infernal Grasp, Darkslick Shores, Moonshadow, Faerie Mastermind, Island, Island, Island, Island, Emperor of Bones, Damnation, Marsh Flats, Urborg, Tomb of Yawgmoth, Psychic Frog, Deep-Cavern Bat, Thoughtseize, Shelldock Isle, Kaito, Bane of Nightmares, Mystical Tutor","Fire Covenant, Twilight Diviner, The Wandering Emperor, Soul-Guide Lantern, Bleachbone Verge, Kolaghan's Command, Talisman of Dominance, Tear Asunder, Lavaspur Boots, Mine Collapse, Damn, Commercial District, Desecrex, Gift of Servitude, Mind Stone, Exhume"
"3","6","Red/White","RW Aggro","Red/White","14","9","17","2.04","Palace Jailer, Fear of Missing Out, Ajani, Nacatl Pariah, Magda, Brazen Outlaw, Inspiring Vantage, Lightning Bolt, Sacred Foundry, Smuggler's Copter, Jacked Rabbit, Phelia, Exuberant Shepherd, Mother of Runes, Gut, True Soul Zealot, Pyrogoyf, Chain Lightning, Containment Priest, Flame Slash, Abandoned Air Temple, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Swords to Plowshares, Guide of Souls, Ocelot Pride, Plains, Plains, Plains, Plains, Fable of the Mirror-Breaker, Arid Mesa, Plateau, Figure of Destiny, Strip Mine, Galvanic Discharge, Elspeth, Storm Slayer, Abrade, Screaming Nemesis","Lingering Souls, Staff of the Storyteller, Erode, Orcish Lumberjack, Ketria Triome, Skycoach Conductor, Celestial Colonnade, Securitron Squadron, Delayed Blast Fireball, Fireblast, Jennifer Walters, Scrubland, Oath of Druids, Guardian Scalelord, Marauding Mako, Sunfall"
"3","7","Black/Red/Blue","BRU Combo","Artifacts, Spells","1","22","17","2.70","Gush, Frantic Search, Urza's Bauble, Gitaxian Probe, Thassa's Oracle, Ancient Tomb, Underworld Breach, Bolas's Citadel, Yawgmoth's Will, Lotus Petal, Stern Scolding, Brain Freeze, Dark Ritual, Swamp, Swamp, Swamp, Treasure Cruise, Doomsday, Pentad Prism, Night's Whisper, Wishclaw Talisman, Xander's Lounge, Thought Scour, Manamorphose, Force of Will, Wheel of Fortune, Island, Island, Island, Island, Island, Volcanic Island, Mana Confluence, Tolarian Academy, Memory Jar, Indatha Triome, Flame of Anor, Flooded Strand, Bloodstained Mire, Watery Grave","Displacer Kitten, Everflowing Chalice, Sword of the Meek, Shadowy Backstreet, Mole Man, Moloid Master, Manifold Key, Torsten, Founder of Benalia, Lurrus of the Dream-Den, Pinnacle Emissary, Godless Shrine, Arwen, Mortal Queen, Council's Judgment, Through the Breach"
"3","8","Black/Green","BG Graveyard","Black/Green","10","13","17","2.43","Metamorphosis Fanatic, Nethergoyf, Liliana of the Veil, Grist, the Hunger Tide, Deathrite Shaman, Entomb, Snuff Out, Mox Emerald, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Corpse Dance, Blooming Marsh, Witherbloom Apprentice, Necromancy, Barrowgoyf, Bitter Triumph, Shifting Woodland, Overgrown Tomb, Town Greeter, Harvester of Misery, Recurring Nightmare, Forest, Bayou, Animate Dead, Life // Death, Six, Chain of Smog, Satyr Wayfinder, Polluted Delta, Dauthi Voidwalker, Mox Diamond, Zagoth Triome","Umezawa's Jitte, Woodfall Primus, Eternal Witness, Keen-Eyed Curator, Mutagen Man, Living Ooze, Ouroboroid, Tidehollow Sculler, Skullclamp, Talisman of Conviction, Vicious Rivalry, Concealing Curtains, Sanguine Evangelist, Super Shredder, Goblin Engineer, Thornspire Verge, Thieving Skydiver"
"4","1","Black/Green/Red/Blue","BGRU Combo","Artifacts, Spells","4","19","17","1.91","Vivi Ornitier, Undercity Sewers, Frantic Search, Breeding Pool, Deathrite Shaman, Bolas's Citadel, Yawgmoth's Will, Brain Freeze, Black Lotus, Dark Ritual, Swamp, Swamp, Swamp, Swamp, Blooming Marsh, Skycoach Conductor, Tendrils of Agony, Shifting Woodland, Wishclaw Talisman, Demonic Tutor, Manamorphose, Talisman of Curiosity, Yavimaya, Cradle of Growth, Overgrown Tomb, Darkslick Shores, Mountain, Mountain, Retrofitter Foundry, Island, Island, Island, Malevolent Rumble, Urborg, Tomb of Yawgmoth, Mox Opal, Fastbond, Flow State, Batroc the Leaper, Vampiric Tutor, Mox Diamond, Mystical Tutor","Karn, Scion of Urza, Icetill Explorer, Shadowy Backstreet, Concealed Courtyard, Adeline, Resplendent Cathar, Haywire Mite, Fanatic of Rhonas, Vicious Rivalry, Arwen, Mortal Queen, Town Greeter, Generous Ent, Show and Tell, Omnath, Locus of Creation, Bristly Bill, Spine Sower"
"4","2","Red/Blue/White","RUW Combo Control","Spells, Humans","12","11","17","2.78","Chandra, Torch of Defiance, Steam Vents, Multiversal Passage, Palace Jailer, Library of Alexandria, Sear, Ajani, Nacatl Pariah, Snapcaster Mage, Hullbreacher, Brainstorm, Magda, Brazen Outlaw, Gut, True Soul Zealot, Arena of Glory, Mana Drain, Miscalculation, Dack Fayden, Laelia, the Blade Reforged, Mountain, Mountain, Mountain, Mountain, Mountain, Teferi, Time Raveler, Otharri, Suns' Glory, Island, Island, Island, Island, Guide of Souls, Plains, Arid Mesa, Mana Leak, Raugrin Triome, Meticulous Archive, Mystic Confluence, Bonecrusher Giant, Third Path Iconoclast, Abrade, Fury, Dismember","Lingering Souls, Echo of Eons, Manifold Key, Winds of Abandon, Robber of the Rich, Overlord of the Mistmoors, Mine Collapse, Melded Moxite, Containment Priest, Okoye, Mighty and Adored, Currency Converter, Agatha's Soul Cauldron, Sage of the Skies, Guardian Scalelord, Eagles of the North"
"4","3","Red/Blue/White","RUW Artifacts","Artifacts","5","18","17","3.52","Talisman of Progress, Nettlecyst, Tezzeret, Cruel Captain, Talisman of Creativity, Balance, Grim Monolith, Mana Crypt, Paradoxical Outcome, Portal to Phyrexia, Inspiring Vantage, Triplicate Titan, Ugin, Eye of the Storms, Basalt Monolith, Talisman of Conviction, Raffine's Tower, Upheaval, Kappa Cannoneer, Elegant Parlor, Mountain, Mountain, Saheeli, Sublime Artificer, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Mishra's Workshop, Myr Battlesphere, Candelabra of Tawnos, Counterspell, Emry, Lurker of the Loch, Urza, Lord High Artificer, Chrome Mox, Chromatic Star","Phyrexian Dragon Engine, Displacer Kitten, Staff of the Storyteller, Soul-Guide Lantern, Consider, Vengevine, Emrakul, the Aeons Torn, Generous Plunderer, Delayed Blast Fireball, Glimmer Lens, Makdee and Itla, Skysnarers, Goblin Engineer, Legion Extruder, Thundertrap Trainer, Solitude, Shorikai, Genesis Engine, Chain of Smog, Sunfall"
