card_name,games_played,wins,winrate_pct,distinct_drafts,reliable
Bogardan Dragonheart,182,85,46.7,26,True
Remove Soul,273,127,46.52,39,True
Eldrazi Skyspawner,168,78,46.43,24,True
Dinrova Horror,168,78,46.43,24,True
Golgari Rot Farm,119,55,46.22,17,True
Sakura-Tribe Elder,238,110,46.22,34,True
Cavern Harpy,119,55,46.22,17,True
Fireblade Artist,91,42,46.15,13,True
Writhing Chrysalis,189,87,46.03,27,True
Flesh Burrower,63,29,46.03,9,True
Hooting Mandrills,98,45,45.92,14,True
Flame Slash,273,125,45.79,39,True
Rubblebelt Maverick,77,35,45.45,11,True
Preening Champion,210,95,45.24,30,True
Sinister Hideout,182,82,45.05,26,True
Ironhoof Boar,91,41,45.05,13,True
Shipwreck Dowser,280,126,45.0,40,True
Dimir Aqueduct,196,88,44.9,28,True
Zephyr Winder,105,47,44.76,15,True
Hickory Woodlot,210,94,44.76,30,True
Plasma Bolt,224,100,44.64,32,True
Dimir Guildmage,119,53,44.54,17,True
Wrangle,126,56,44.44,18,True
Treasure Cruise,259,114,44.02,37,True
Archaeomancer,266,117,43.98,38,True
Bonder's Ornament,105,46,43.81,15,True
Generous Ent,238,104,43.7,34,True
Treetop Snarespinner,245,107,43.67,35,True
Serpent's Pass,126,55,43.65,18,True
Mulldrifter,280,122,43.57,40,True
Azorius Chancery,154,67,43.51,22,True
Soul Manipulation,168,73,43.45,24,True
Starbreach Whale,175,76,43.43,25,True
Abrade,245,106,43.27,35,True
Werebear,245,106,43.27,35,True
Faerie Seer,273,118,43.22,39,True
Serum Visionary,231,99,42.86,33,True
Ardent Elementalist,161,69,42.86,23,True
Ulamog's Crusher,84,36,42.86,12,True
Plagued Rusalka,56,24,42.86,8,True
Death Denied,49,21,42.86,7,True
Mardu Skullhunter,28,12,42.86,4,True
Candy Trail,7,3,42.86,1,False
Borrowed Grace,14,6,42.86,2,True
Lórien Revealed,273,116,42.49,39,True
Krosan Tusker,224,95,42.41,32,True
Cruel Witness,210,89,42.38,30,True
Mist Raven,203,86,42.36,29,True
Repulse,252,106,42.06,36,True
Firebrand Archer,203,85,41.87,29,True
Eroded Canyon,196,82,41.84,28,True
Weakstone's Subjugation,182,76,41.76,26,True
Rakdos Carnarium,84,35,41.67,12,True
University Campus,84,35,41.67,12,True
Reckless Impulse,161,67,41.61,23,True
Dreg Mangler,77,32,41.56,11,True
Condescend,273,113,41.39,39,True
Guttersnipe,196,81,41.33,28,True
Young Blue Dragon,252,104,41.27,36,True
Miscalculation,231,95,41.13,33,True
Blood Aspirant,112,46,41.07,16,True
Cryogen Relic,217,89,41.01,31,True
Looter il-Kor,217,89,41.01,31,True
Lys Alana Informant,105,43,40.95,15,True
Grapple with the Past,105,43,40.95,15,True
Tuskeri Firewalker,49,20,40.82,7,True
Ninja of the Deep Hours,189,77,40.74,27,True
You Meet in a Tavern,133,54,40.6,19,True
Monstrous Emergence,217,88,40.55,31,True
Elite Interceptor,42,17,40.48,6,True
Meeting of Minds,210,85,40.48,30,True
Tolarian Terror,245,99,40.41,35,True
Snapping Voidcraw,203,82,40.39,29,True
Frost Trickster,224,90,40.18,32,True
