"Draft","Seat","Colors","Archetype","Themes","Creatures","Noncreatures","Lands","Avg MV","Mainboard","Sideboard"
"41","8","Green/Blue","GU Ramp","Creatures","15","8","17","4.22","Utopia Sprawl, Misty Rainforest, Kiora, Master of the Depths, Green Sun's Zenith, Sylvan Caryatid, Mystic Snake, Garruk Wildspeaker, Breeding Pool, Elves of Deep Shadow, Plow Under, Consecrated Sphinx, Wall of Roots, Yavimaya Coast, Woodland Bellower, Chord of Calling, Oracle of Mul Daya, Temple of Mystery, Jace, the Mind Sculptor, Carnage Tyrant, Emrakul, the Aeons Torn, Noble Hierarch, Joraga Treespeaker, Evolving Wilds, Primeval Titan, Ghalta, Primal Hunger, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Treetop Village, Birds of Paradise, Time Warp, Tireless Tracker, Dryad Arbor, Shelldock Isle","Negate, Commit // Memory, Glen Elendra Archmage, Rootbound Crag, Ancestral Vision, Preordain, Naturalize, Crystal Shard, Sundering Titan, Shrapnel Blast, Commune with Nature, Reciprocate, Delver of Secrets, Birthing Pod"
"42","1","White","W Weenie","White","13","10","17","3.65","Elspeth, Sun's Champion, Lingering Souls, Angel of Invention, Sword of Fire and Ice, Stoneforge Mystic, Spectral Procession, Monastery Mentor, Archangel Avacyn, Hero of Bladehold, Brimaz, King of Oreskos, Archangel of Thune, Pacifism, Wall of Omens, Dragonskull Summit, Selfless Spirit, Hidden Dragonslayer, Elesh Norn, Grand Cenobite, Disenchant, Flickerwisp, Sun Titan, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Oblivion Ring, Glorious Anthem, Elspeth, Knight-Errant, Spear of Heliod","Hero's Downfall, Qasali Pridemage, Collective Brutality, Aether Spellbomb, Walking Ballista, Liliana, the Last Hope, Vault Skirge, Shriekmaw, Ravenous Chupacabra, Harmonize, Thopter Foundry, Crypt Ghast, Damnation, Boomerang, Bloodghast, Phyrexian Arena, Flooded Strand, Scarecrone, Bitterblossom, Vampire Hexmage, Dismember"
"42","2","Green/Blue","GU Ramp","Spells, Wizards","10","13","17","2.70","Solemn Simulacrum, Utopia Sprawl, Sleight of Hand, Venser, Shaper Savant, Breeding Pool, Snapcaster Mage, Biomass Mutation, Eternal Witness, Consecrated Sphinx, Phyrexian Metamorph, Yavimaya Coast, Farseek, Sower of Temptation, Treasure Cruise, Glen Elendra Archmage, Wooded Foothills, Verdant Catacombs, Llanowar Elves, Temple of Mystery, Unsummon, Botanical Sanctum, Joraga Treespeaker, Preordain, Remove Soul, Island, Island, Island, Island, Island, Logic Knot, Forest, Forest, Treetop Village, Mana Leak, Remand, Dryad Arbor, Polluted Delta, Shelldock Isle, Search for Azcanta, Vedalken Shackles","Lotus Bloom, Collected Company, Master of Etherium, Murmuring Bosk, Gideon, Ally of Zendikar, Huntmaster of the Fells, Blooming Marsh, Summoner's Pact, Raging Ravine, Lightning Greaves, Cinder Glade, Hallowed Fountain"
"42","3","Black/Blue/White","BUW Reanimator","Spells","13","10","17","4.57","Chart a Course, Sphinx of the Steel Wind, Creeping Tar Pit, Woodfall Primus, Fetid Pools, Duress, Shadowmage Infiltrator, Goryo's Vengeance, Ashen Rider, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Serum Visions, Liliana, Death's Majesty, Disallow, Sheoldred, Whispering One, Massacre Wurm, Island, Island, Forest, Forest, Plains, Plains, Street Wraith, Myr Battlesphere, The Scarab God, Looter il-Kor, Jace Beleren, Sunken Hollow, Sundering Titan, Unburial Rites, Heir of Falkenrath, Spell Pierce, Makeshift Mannequin, Inkwell Leviathan, Watery Grave","Cruel Ultimatum, Stomping Ground, Temur Charm, Kolaghan's Command, Temple of Epiphany, Pia and Kiran Nalaar, Leonin Relic-Warder, Emrakul, the Aeons Torn, Maelstrom Pulse, Torrential Gearhulk, Ulamog, the Infinite Gyre, Goblin Dark-Dwellers, Gemstone Caverns, Dreadbore, Sheltered Thicket, Quicksilver Amulet, Pyroclasm, Talisman of Impulse"
"42","4","Black","B Combo","Artifacts","11","12","17","1.78","Sensei's Divining Top, Terramorphic Expanse, Dark Confidant, Myr Enforcer, Chromatic Sphere, Talisman of Dominance, Tidehollow Sculler, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Mishra's Bauble, Skullclamp, Porcelain Legionnaire, Cranial Plating, Phyrexian Revoker, Etched Champion, Isolated Chapel, Night's Whisper, Inventors' Fair, Steel Overseer, Ornithopter, Lodestone Golem, Frogmite, Island, Plains, Plains, Springleaf Drum, Hangarback Walker, Mox Opal, Chrome Mox, Thoughtseize, Chromatic Star","Twisted Abomination, Grim Flayer, Mind Shatter, Dread Return, Krosan Grip, Phyrexian Obliterator, Pack Rat, Woodland Bellower, Rhonas the Indomitable, Hypnotic Specter, Mindslaver, Skinrender, Woodland Cemetery, Ultimate Price, Steelshaper's Gift, Kalitas, Traitor of Ghet, Honor of the Pure, Birthing Pod, Vampire Nighthawk"
"42","5","Red/Blue","RU Spellslinger","Spells","8","15","17","3.09","Bedlam Reveler, Electrolyze, Misty Rainforest, Shivan Reef, Steam Vents, Vendilion Clique, Splinter Twin, Stormchaser Mage, Negate, Censor, Deceiver Exarch, Commit // Memory, Sulfur Falls, Opt, Jace, the Mind Sculptor, Pestermite, Flame Slash, Condescend, Izzet Charm, Kiki-Jiki, Mirror Breaker, Mountain, Mountain, Mountain, Island, Island, Island, Island, Island, Island, Island, Island, Island, Arid Mesa, Cyclonic Rift, Delver of Secrets, Devil's Play, Tarfire, Thing in the Ice, Dig Through Time, Abrade","Talisman of Progress, Ensoul Artifact, Talara's Battalion, Everflowing Chalice, Karn Liberated, Leatherback Baloth, Aurelia, the Warleader, Judge's Familiar, Blackmail, Tezzeret the Seeker, Chord of Calling, Relic of Progenitus, Celestial Colonnade, Rootbound Crag, Gilded Lotus, Through the Breach, Dragonlord Atarka"
"42","6","Red","R Burn","Humans","13","10","17","2.39","Soul-Scar Mage, Chandra, Torch of Defiance, Zealous Conscripts, Goblin Rabblemaster, Pyrite Spellbomb, Faithless Looting, Zurgo Bellstriker, Smuggler's Copter, Young Pyromancer, Chandra, Fire of Kaladesh, Ball Lightning, Kari Zev, Skyship Raider, Mogg Fanatic, Lightning Axe, Dead // Gone, Incendiary Flow, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Bomat Courier, Searing Spear, Burst Lightning, Glorybringer, Galvanic Blast, Siege-Gang Commander, Hero of Oxid Ridge","Cathartic Reunion, Fatal Push, Cryptbreaker, Canyon Slough, Crib Swap, Wrath of God, Smoldering Marsh, Brain Maggot, Sacred Foundry, Knight of the Holy Nimbus, Skysovereign, Consul Flagship, Rakdos's Return, Blackcleave Cliffs, Dark Petition, Razorverge Thicket, Evolving Wilds, Crystal Shard, Sword of Feast and Famine, Batterskull, Kytheon, Hero of Akros, Trash for Treasure, Ajani Vengeant"
"42","7","Green","G Ramp","Shamans, Creatures","19","4","17","4.00","Reclamation Sage, Avacyn's Pilgrim, Green Sun's Zenith, Thrun, the Last Troll, Garruk Wildspeaker, Scavenging Ooze, Elves of Deep Shadow, Acidic Slime, Plow Under, Windswept Heath, Concealed Courtyard, Caves of Koilos, Fauna Shaman, Wall of Roots, Hornet Queen, Scattered Groves, Courser of Kruphix, Inkmoth Nexus, Oracle of Mul Daya, Beast Within, Lotus Cobra, Carnage Tyrant, Craterhoof Behemoth, Whisperwood Elemental, Primeval Titan, Ghalta, Primal Hunger, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Plains, Canopy Vista, Master of the Wild Hunt, Sakura-Tribe Elder","Deathrite Shaman, Settle the Wreckage, Hedron Archive, Knight of the Reliquary, Tarmogoyf, Prairie Stream, Gatekeeper of Malakir, Renegade Rallier, Tasigur, the Golden Fang, Rancor, Boon Satyr, Zombify, Naturalize, Kessig Prowler, Commune with Nature, Blightsteel Colossus"
"42","8","Red/White","RW Aggro","Humans","14","9","17","1.87","Student of Warfare, Umezawa's Jitte, Rift Bolt, Journey to Nowhere, Hazoret the Fervent, Inspiring Vantage, Lightning Bolt, Simian Spirit Guide, Savannah Lions, Battlefield Forge, Temple of Triumph, Mikaeus, the Lunarch, Adanto Vanguard, Thalia, Guardian of Thraben, Banisher Priest, Mountain, Mountain, Mountain, Mountain, Mountain, Hellspark Elemental, Shock, Secure the Wastes, Gideon's Lawkeeper, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Figure of Destiny, Isamaru, Hound of Konda, Shrapnel Blast, Clifftop Retreat, Incinerate, Monastery Swiftspear, Hellrider, Arc Trail","Glacial Fortress, Liliana of the Veil, Diabolic Tutor, Talisman of Indulgence, Icy Manipulator, Inquisition of Kozilek, Bloodbraid Elf, Geist of Saint Traft, Vendetta, Mantis Rider, Terminate, Godless Shrine, Earthquake, Scalding Tarn, Marsh Flats, Siege Rhino, City of Brass, Kird Ape"
"43","1","Red/Blue","RU Spellslinger","Spells, Wizards","7","16","17","2.30","Sleight of Hand, Shivan Reef, Gitaxian Probe, Vendilion Clique, Splinter Twin, Dissolve, Stormchaser Mage, Negate, Censor, Sower of Temptation, Jace, Vryn's Prodigy, Young Pyromancer, Temple of Epiphany, Unsummon, Bloodwater Entity, Condescend, Izzet Charm, Cryptic Command, Mountain, Mountain, Torrential Gearhulk, Searing Spear, Preordain, Repeal, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Mana Leak, Scalding Tarn, Cyclonic Rift, Shelldock Isle, Abrade","Coalition Relic, Ulamog, the Ceaseless Hunger, Sensei's Divining Top, Ratchet Bomb, Mind Shatter, Irrigated Farmland, Aether Spellbomb, Huntmaster of the Fells, Pacifism, Chandra, Fire of Kaladesh, Lightning Axe, Gilded Lotus, Mindslaver, Treetop Village, Goblin Dark-Dwellers, Galvanic Blast, Hangarback Walker, Devil's Play"
"43","2","White","W Weenie","Humans, Creatures","17","6","17","2.30","Blade Splicer, Umezawa's Jitte, Angel of Invention, Stoneforge Mystic, Hero of Bladehold, Brimaz, King of Oreskos, Gideon, Ally of Zendikar, Savannah Lions, Porcelain Legionnaire, Selfless Spirit, Knight of the White Orchid, Mikaeus, the Lunarch, Adanto Vanguard, Mana Tithe, Thalia, Guardian of Thraben, Banisher Priest, Gideon's Lawkeeper, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Thraben Inspector, Isamaru, Hound of Konda, Restoration Angel, Honor of the Pure, Legion's Landing, Spear of Heliod","Lingering Souls, Aurelia, the Warleader, Talisman of Indulgence, Icy Manipulator, Bloodbraid Elf, Inspiring Vantage, Kitchen Finks, Zurgo Helmsmasher, Temple of Triumph, Etched Champion, Isolated Chapel, Lightning Helix, Flame Slash, Steel Overseer, Lodestone Golem, Arid Mesa, Kessig Prowler, Clifftop Retreat, Incinerate, Inkwell Leviathan, Temple of Silence, Oust"
